"URL";"languages"
"https://itunes.apple.com/us/app/adler-apotheke-m-mueller/id1309579120?mt=8";"german"
"https://itunes.apple.com/us/app/ap-benefit-advisors-fsa-hra/id935615456?mt=8";"english"
"https://itunes.apple.com/us/app/you-are-ems-personal-training/id1174799439?mt=8";"german"
"https://itunes.apple.com/us/app/safe-alternatives/id576396642?mt=8";"english"
"https://itunes.apple.com/us/app/quit-smoking-butt-out/id593280856?mt=8";"english"
"https://itunes.apple.com/us/app/aac-parlare/id1132156116?mt=8";"italian"
"https://itunes.apple.com/us/app/consultant-connect/id1138956970?mt=8";"english"
"https://itunes.apple.com/us/app/intu-medytacja/id1089142196?mt=8";"english"
"https://itunes.apple.com/us/app/1522-anti-violenza-e-stalking/id1278252704?mt=8";"italian"
"https://itunes.apple.com/us/app/diagnostics-th%C3%A9rapeutique/id899621122?mt=8";"french"
"https://itunes.apple.com/us/app/clinical-biochemistry-5th-edition/id1128377335?mt=8";"english"
"https://itunes.apple.com/us/app/switch180/id1159718197?mt=8";"dutch"
"https://itunes.apple.com/us/app/minska-stress-med-meditation/id1233817550?mt=8";"swedish"
"https://itunes.apple.com/us/app/enhance-fitness/id1320071412?mt=8";"english"
"https://itunes.apple.com/us/app/fitwell-personal-fitness-coach/id911012128?mt=8";"english"
"https://itunes.apple.com/us/app/book-a-birdie/id1391017881?mt=8";"english"
"https://itunes.apple.com/us/app/recetas-para-adelgazar/id1127335813?mt=8";"spanish"
"https://itunes.apple.com/us/app/2pir%E5%81%A5%E8%BA%AB%E5%BB%BA%E8%AD%B0/id1318110018?mt=8";"german"
"https://itunes.apple.com/us/app/medicamentos-v%C3%ADa-parenteral/id777243913?mt=8";"spanish"
"https://itunes.apple.com/us/app/colorboost-color-light-music-relaxation-sessions-for/id848146339?mt=8";"english"
"https://itunes.apple.com/us/app/dualtimer/id513207197?mt=8";"english"
"https://itunes.apple.com/us/app/omada/id805711008?mt=8";"english"
