"";"Name";"URL";"ID";"Category"
"1";"A&D Connect ";"https://itunes.apple.com/us/app/a-d-connect/id894522766?mt=8";"894522766";"Medical"
"2";"A&D Link ";"https://itunes.apple.com/us/app/a-d-link/id520319166?mt=8";"520319166";"Medical"
"3";"A&I ";"https://itunes.apple.com/us/app/a-i/id1070752858?mt=8";"1070752858";"Medical"
"4";"A&P Subscription ";"https://itunes.apple.com/us/app/a-p-subscription/id908349439?mt=8";"908349439";"Medical"
"5";"A'Phros ";"https://itunes.apple.com/us/app/aphros/id1150320302?mt=8";"1150320302";"Medical"
"6";"A+ How To Make Boobs Grow Faster ";"https://itunes.apple.com/us/app/a-how-to-make-boobs-grow-faster/id989341374?mt=8";"989341374";"Medical"
"7";"A+ Illusion ";"https://itunes.apple.com/us/app/a-illusion/id453448211?mt=8";"453448211";"Medical"
"8";"A-dec Angles of Access ";"https://itunes.apple.com/us/app/a-dec-angles-of-access/id1437018551?mt=8";"1437018551";"Medical"
"9";"A-dec Difference ";"https://itunes.apple.com/us/app/a-dec-difference/id1151629041?mt=8";"1151629041";"Medical"
"10";"A-dec<U+7684><U+4E0D><U+540C><U+4E4B><U+5904> ";"https://itunes.apple.com/us/app/a-dec%E7%9A%84%E4%B8%8D%E5%90%8C%E4%B9%8B%E5%A4%84/id1153731644?mt=8";"1153731644";"Medical"
"11";"A-Link<U+306E><U+516C><U+5F0F><U+30A2><U+30D7><U+30EA> ";"https://itunes.apple.com/us/app/a-link%E3%81%AE%E5%85%AC%E5%BC%8F%E3%82%A2%E3%83%97%E3%83%AA/id983866635?mt=8";"983866635";"Medical"
"12";"A-Plast Estetik Cerrahi ";"https://itunes.apple.com/us/app/a-plast-estetik-cerrahi/id928476508?mt=8";"928476508";"Medical"
"13";"A-Vita Apotheke - Schneider ";"https://itunes.apple.com/us/app/a-vita-apotheke-schneider/id1065439255?mt=8";"1065439255";"Medical"
"14";"A-Vita-Apotheke - Schneider ";"https://itunes.apple.com/us/app/a-vita-apotheke-schneider/id1178589519?mt=8";"1178589519";"Medical"
"15";"A.B.S ";"https://itunes.apple.com/us/app/a-b-s/id1164069523?mt=8";"1164069523";"Medical"
"16";"A.G.A.R. ";"https://itunes.apple.com/us/app/a-g-a-r/id582880985?mt=8";"582880985";"Medical"
"17";"A.M.A. Seguros ";"https://itunes.apple.com/us/app/a-m-a-seguros/id977311726?mt=8";"977311726";"Medical"
"18";"A.M.N.E.S.I.A. ";"https://itunes.apple.com/us/app/a-m-n-e-s-i-a/id851897248?mt=8";"851897248";"Medical"
"19";"A.S.P.E.N. Clinical App ";"https://itunes.apple.com/us/app/a-s-p-e-n-clinical-app/id1081990652?mt=8";"1081990652";"Medical"
"20";"A.Vogel Hooikoortsweerbericht ";"https://itunes.apple.com/us/app/a-vogel-hooikoortsweerbericht/id427763647?mt=8";"427763647";"Medical"
"21";"A1 Pharmacy ";"https://itunes.apple.com/us/app/a1-pharmacy/id1067452044?mt=8";"1067452044";"Medical"
"22";"A1C LifeBox ";"https://itunes.apple.com/us/app/a1c-lifebox/id1145554492?mt=8";"1145554492";"Medical"
"23";"A1C to EAG ";"https://itunes.apple.com/us/app/a1c-to-eag/id1341062179?mt=8";"1341062179";"Medical"
"24";"A1cConverter ";"https://itunes.apple.com/us/app/a1cconverter/id367375135?mt=8";"367375135";"Medical"
"25";"A1chronicle ";"https://itunes.apple.com/us/app/a1chronicle/id990251814?mt=8";"990251814";"Medical"
"26";"A1chronicle Lite ";"https://itunes.apple.com/us/app/a1chronicle-lite/id1080397975?mt=8";"1080397975";"Medical"
"27";"A2Z of Dermatology ";"https://itunes.apple.com/us/app/a2z-of-dermatology/id342442220?mt=8";"342442220";"Medical"
"28";"A2ZDOC ";"https://itunes.apple.com/us/app/a2zdoc/id680716856?mt=8";"680716856";"Medical"
"29";"AA Emergencias ";"https://itunes.apple.com/us/app/aa-emergencias/id1033427069?mt=8";"1033427069";"Medical"
"30";"AA PTA ";"https://itunes.apple.com/us/app/aa-pta/id978671559?mt=8";"978671559";"Medical"
"31";"AA Speakers 2007 - 1 ";"https://itunes.apple.com/us/app/aa-speakers-2007-1/id955140080?mt=8";"955140080";"Medical"
"32";"AA Speakers Bill W ";"https://itunes.apple.com/us/app/aa-speakers-bill-w/id955093361?mt=8";"955093361";"Medical"
"33";"AA Voices From The Past ";"https://itunes.apple.com/us/app/aa-voices-from-the-past/id957395317?mt=8";"957395317";"Medical"
"34";"AAA-MNM ";"https://itunes.apple.com/us/app/aaa-mnm/id569531525?mt=8";"569531525";"Medical"
"35";"AAAMTdictate ";"https://itunes.apple.com/us/app/aaamtdictate/id662048533?mt=8";"662048533";"Medical"
