"";"Name";"URL";"ID";"Category"
"1";"A&B Dance Company ";"https://itunes.apple.com/us/app/a-b-dance-company/id1120389586?mt=8";"1120389586";"Health&Fitness"
"2";"A&D Connect ";"https://itunes.apple.com/us/app/a-d-connect/id894522766?mt=8";"894522766";"Health&Fitness"
"3";"A&D Link ";"https://itunes.apple.com/us/app/a-d-link/id520319166?mt=8";"520319166";"Health&Fitness"
"4";"A&I Benefits Mobile ";"https://itunes.apple.com/us/app/a-i-benefits-mobile/id655595706?mt=8";"655595706";"Health&Fitness"
"5";"A&N Wellness Tracker ";"https://itunes.apple.com/us/app/a-n-wellness-tracker/id1435063611?mt=8";"1435063611";"Health&Fitness"
"6";"A&O Peninsula Pharmacy ";"https://itunes.apple.com/us/app/a-o-peninsula-pharmacy/id946772639?mt=8";"946772639";"Health&Fitness"
"7";"A&W Pharmacy ";"https://itunes.apple.com/us/app/a-w-pharmacy/id1211846263?mt=8";"1211846263";"Health&Fitness"
"8";"A'Phros ";"https://itunes.apple.com/us/app/aphros/id1150320302?mt=8";"1150320302";"Health&Fitness"
"9";"A+ Baby Monitor ";"https://itunes.apple.com/us/app/a-baby-monitor/id834813953?mt=8";"834813953";"Health&Fitness"
"10";"A+ Best Easy Pressure Cooker Recipes - A Healthy Way to Cook ";"https://itunes.apple.com/us/app/a-best-easy-pressure-cooker-recipes-a-healthy-way-to-cook/id908580736?mt=8";"908580736";"Health&Fitness"
"11";"A+ Easy Pork Chop Recipes ";"https://itunes.apple.com/us/app/a-easy-pork-chop-recipes/id905321713?mt=8";"905321713";"Health&Fitness"
"12";"A+ Genius Baby ";"https://itunes.apple.com/us/app/a-genius-baby/id564123089?mt=8";"564123089";"Health&Fitness"
"13";"A+ How To Gain Weight & Muscle Fast - Best Effective Guide & Tips For Workout, Bulk Up, Exercises  a... ";"https://itunes.apple.com/us/app/how-to-gain-weight-muscle-fast-best-effective-guide/id957757397?mt=8";"957757397";"Health&Fitness"
"14";"A+ How To Make Boobs Grow Faster ";"https://itunes.apple.com/us/app/a-how-to-make-boobs-grow-faster/id989341374?mt=8";"989341374";"Health&Fitness"
"15";"A+ How To Strengthen Lower Back - Exercise & Relieve Pain ";"https://itunes.apple.com/us/app/a-how-to-strengthen-lower-back-exercise-relieve-pain/id992275786?mt=8";"992275786";"Health&Fitness"
"16";"A+ Weight Manager Lite ";"https://itunes.apple.com/us/app/a-weight-manager-lite/id462172432?mt=8";"462172432";"Health&Fitness"
"17";"A-cura ";"https://itunes.apple.com/us/app/a-cura/id1145231249?mt=8";"1145231249";"Health&Fitness"
"18";"A-Group Mobile Concierge ";"https://itunes.apple.com/us/app/a-group-mobile-concierge/id1121971467?mt=8";"1121971467";"Health&Fitness"
"19";"A-Group Mobile Concierge Tablet ";"https://itunes.apple.com/us/app/a-group-mobile-concierge-tablet/id1141819722?mt=8";"1141819722";"Health&Fitness"
"20";"A-List Look - Daily Workout ";"https://itunes.apple.com/us/app/a-list-look-daily-workout/id946938437?mt=8";"946938437";"Health&Fitness"
"21";"A-Pilates ";"https://itunes.apple.com/us/app/a-pilates/id1086023042?mt=8";"1086023042";"Health&Fitness"
"22";"A-Scan (Portable Breath-analyzer) ";"https://itunes.apple.com/us/app/a-scan-portable-breath-analyzer/id591654940?mt=8";"591654940";"Health&Fitness"
"23";"A-Vita Apotheke - Schneider ";"https://itunes.apple.com/us/app/a-vita-apotheke-schneider/id1065439255?mt=8";"1065439255";"Health&Fitness"
"24";"A-Vita-Apotheke - Schneider ";"https://itunes.apple.com/us/app/a-vita-apotheke-schneider/id1178589519?mt=8";"1178589519";"Health&Fitness"
"25";"A-Z Healthy Diet - Finding a Healthy Lifestyle ";"https://itunes.apple.com/us/app/a-z-healthy-diet-finding-a-healthy-lifestyle/id1128827047?mt=8";"1128827047";"Health&Fitness"
"26";"A. Tomei ";"https://itunes.apple.com/us/app/a-tomei/id1378973604?mt=8";"1378973604";"Health&Fitness"
"27";"A.B.S ";"https://itunes.apple.com/us/app/a-b-s/id1164069523?mt=8";"1164069523";"Health&Fitness"
"28";"A.C.E Fitness ";"https://itunes.apple.com/us/app/a-c-e-fitness/id1265860599?mt=8";"1265860599";"Health&Fitness"
"29";"A.D.A.P.T ";"https://itunes.apple.com/us/app/a-d-a-p-t/id1200364734?mt=8";"1200364734";"Health&Fitness"
"30";"A.F.A. El Arenal de Rota ";"https://itunes.apple.com/us/app/a-f-a-el-arenal-de-rota/id1228593076?mt=8";"1228593076";"Health&Fitness"
"31";"A.F.I. - Alien Farthead Invasion ";"https://itunes.apple.com/us/app/a-f-i-alien-farthead-invasion/id477078307?mt=8";"477078307";"Health&Fitness"
"32";"A.I. River & Forest ";"https://itunes.apple.com/us/app/a-i-river-forest/id1273605018?mt=8";"1273605018";"Health&Fitness"
"33";"A.L.E.R.T. ";"https://itunes.apple.com/us/app/a-l-e-r-t/id1407270949?mt=8";"1407270949";"Health&Fitness"
"34";"A.M. Total Being Fitness ";"https://itunes.apple.com/us/app/a-m-total-being-fitness/id1069027563?mt=8";"1069027563";"Health&Fitness"
"35";"A.P.E.X. ";"https://itunes.apple.com/us/app/a-p-e-x/id963542775?mt=8";"963542775";"Health&Fitness"
"36";"A.R.T.E. ";"https://itunes.apple.com/us/app/a-r-t-e/id1436376571?mt=8";"1436376571";"Health&Fitness"
"37";"A.S. Vicomoscano ";"https://itunes.apple.com/us/app/a-s-vicomoscano/id1185299603?mt=8";"1185299603";"Health&Fitness"
"38";"A1C LifeBox ";"https://itunes.apple.com/us/app/a1c-lifebox/id1145554492?mt=8";"1145554492";"Health&Fitness"
"39";"A1cConverter ";"https://itunes.apple.com/us/app/a1cconverter/id367375135?mt=8";"367375135";"Health&Fitness"
"40";"A1chronicle ";"https://itunes.apple.com/us/app/a1chronicle/id990251814?mt=8";"990251814";"Health&Fitness"
"41";"A1chronicle Lite ";"https://itunes.apple.com/us/app/a1chronicle-lite/id1080397975?mt=8";"1080397975";"Health&Fitness"
"42";"A1Members ";"https://itunes.apple.com/us/app/a1members/id1175405829?mt=8";"1175405829";"Health&Fitness"
"43";"A2 Fitness ";"https://itunes.apple.com/us/app/a2-fitness/id1179249721?mt=8";"1179249721";"Health&Fitness"
"44";"A2 Physical Therapy ";"https://itunes.apple.com/us/app/a2-physical-therapy/id1341100292?mt=8";"1341100292";"Health&Fitness"
"45";"A2P:Health ";"https://itunes.apple.com/us/app/a2p-health/id1163990331?mt=8";"1163990331";"Health&Fitness"
"46";"A2P:Sport ";"https://itunes.apple.com/us/app/a2p-sport/id1182677659?mt=8";"1182677659";"Health&Fitness"
"47";"A3 Performance ";"https://itunes.apple.com/us/app/a3-performance/id1126520308?mt=8";"1126520308";"Health&Fitness"
"48";"A3 Sports Wellness ";"https://itunes.apple.com/us/app/a3-sports-wellness/id1313704110?mt=8";"1313704110";"Health&Fitness"
"49";"A3 Träningscenter ";"https://itunes.apple.com/us/app/a3-tr%C3%A4ningscenter/id1063707073?mt=8";"1063707073";"Health&Fitness"
"50";"A4 Fitness LA ";"https://itunes.apple.com/us/app/a4-fitness-la/id1277317897?mt=8";"1277317897";"Health&Fitness"
"51";"A9Fit ";"https://itunes.apple.com/us/app/a9fit/id1291981505?mt=8";"1291981505";"Health&Fitness"
"52";"AA - Sandy B ";"https://itunes.apple.com/us/app/aa-sandy-b/id1071631421?mt=8";"1071631421";"Health&Fitness"
"53";"AA 4th Step ";"https://itunes.apple.com/us/app/aa-4th-step/id955818803?mt=8";"955818803";"Health&Fitness"
"54";"AA App - 12 Steps Alcoholics ";"https://itunes.apple.com/us/app/aa-app-12-steps-alcoholics/id642922942?mt=8";"642922942";"Health&Fitness"
"55";"AA Audio Companion for Alcoholics Anonymous ";"https://itunes.apple.com/us/app/aa-audio-companion-for-alcoholics-anonymous/id1191023628?mt=8";"1191023628";"Health&Fitness"
"56";"AA Basic Text ";"https://itunes.apple.com/us/app/aa-basic-text/id1079856490?mt=8";"1079856490";"Health&Fitness"
"57";"AA Big Book App ";"https://itunes.apple.com/us/app/aa-big-book-app/id1067750892?mt=8";"1067750892";"Health&Fitness"
"58";"AA Big Book of Alcoholics Anonymous ";"https://itunes.apple.com/us/app/aa-big-book-of-alcoholics-anonymous/id1111214132?mt=8";"1111214132";"Health&Fitness"
"59";"AA Big Book Sobriety ";"https://itunes.apple.com/us/app/aa-big-book-sobriety/id1093793220?mt=8";"1093793220";"Health&Fitness"
"60";"AA Emergencias ";"https://itunes.apple.com/us/app/aa-emergencias/id1033427069?mt=8";"1033427069";"Health&Fitness"
"61";"AA Joe & Charlie Big Book Work ";"https://itunes.apple.com/us/app/aa-joe-charlie-big-book-work/id1089811749?mt=8";"1089811749";"Health&Fitness"
"62";"AA Joe & Charlie Sobriety ";"https://itunes.apple.com/us/app/aa-joe-charlie-sobriety/id1101236258?mt=8";"1101236258";"Health&Fitness"
"63";"AA Nutrition ";"https://itunes.apple.com/us/app/aa-nutrition/id1239781688?mt=8";"1239781688";"Health&Fitness"
"64";"AA Open Platform ";"https://itunes.apple.com/us/app/aa-open-platform/id1437628152?mt=8";"1437628152";"Health&Fitness"
"65";"AA Personal Trainng ";"https://itunes.apple.com/us/app/aa-personal-trainng/id1231432486?mt=8";"1231432486";"Health&Fitness"
"66";"AA Speaker Tapes ";"https://itunes.apple.com/us/app/aa-speaker-tapes/id1335643834?mt=8";"1335643834";"Health&Fitness"
"67";"AA Speaker Tapes & 12 Steps ";"https://itunes.apple.com/us/app/aa-speaker-tapes-12-steps/id1018096090?mt=8";"1018096090";"Health&Fitness"
"68";"AA Speakers 2007 - 1 ";"https://itunes.apple.com/us/app/aa-speakers-2007-1/id955140080?mt=8";"955140080";"Health&Fitness"
"69";"AA Speakers Bill W ";"https://itunes.apple.com/us/app/aa-speakers-bill-w/id955093361?mt=8";"955093361";"Health&Fitness"
"70";"AA Speakers To Go - Alcoholics Anonymous ";"https://itunes.apple.com/us/app/aa-speakers-to-go-alcoholics-anonymous/id394909964?mt=8";"394909964";"Health&Fitness"
"71";"AA Topics-w/ Big Book Passages ";"https://itunes.apple.com/us/app/aa-topics-w-big-book-passages/id1229824253?mt=8";"1229824253";"Health&Fitness"
"72";"AA Voices From The Past ";"https://itunes.apple.com/us/app/aa-voices-from-the-past/id957395317?mt=8";"957395317";"Health&Fitness"
"73";"AAA SCORE ";"https://itunes.apple.com/us/app/aaa-score/id1006285332?mt=8";"1006285332";"Health&Fitness"
