"Name";"URL";"ID";"Category"
"Reading HealthPlex";"https://itunes.apple.com/us/app/reading-healthplex/id1153576992?mt=8";1153576992;"Health&Fitness"
"Reading Rx by GlassifyMe";"https://itunes.apple.com/us/app/reading-rx-by-glassifyme/id1305280010?mt=8";1305280010;"Health&Fitness"
"READMIT lite";"https://itunes.apple.com/us/app/readmit-lite/id1055481974?mt=8";1055481974;"Health&Fitness"
"ReadNPlay Baby Book";"https://itunes.apple.com/us/app/readnplay-baby-book/id1163847781?mt=8";1163847781;"Health&Fitness"
"Ready Doctor";"https://itunes.apple.com/us/app/ready-doctor/id1037998174?mt=8";1037998174;"Health&Fitness"
"Ready Fit Go";"https://itunes.apple.com/us/app/ready-fit-go/id1388360888?mt=8";1388360888;"Health&Fitness"
"Ready For Sky";"https://itunes.apple.com/us/app/ready-for-sky/id927991375?mt=8";927991375;"Health&Fitness"
"Ready Fresh Foods";"https://itunes.apple.com/us/app/ready-fresh-foods/id1102825993?mt=8";1102825993;"Health&Fitness"
"Ready Set Plank";"https://itunes.apple.com/us/app/ready-set-plank/id1030441141?mt=8";1030441141;"Health&Fitness"
"Ready Surgery";"https://itunes.apple.com/us/app/ready-surgery/id1348793715?mt=8";1348793715;"Health&Fitness"
"Ready To Parent";"https://itunes.apple.com/us/app/ready-to-parent/id1068123126?mt=8";1068123126;"Health&Fitness"
"Ready to Print";"https://itunes.apple.com/us/app/ready-to-print/id513780564?mt=8";513780564;"Health&Fitness"
"Ready Verify";"https://itunes.apple.com/us/app/ready-verify/id1398127763?mt=8";1398127763;"Health&Fitness"
"Ready, Set, Fit";"https://itunes.apple.com/us/app/ready-set-fit/id1261628010?mt=8";1261628010;"Health&Fitness"
"Ready, Step, Go!";"https://itunes.apple.com/us/app/ready-step-go/id514099579?mt=8";514099579;"Health&Fitness"
"ReadyToBFit";"https://itunes.apple.com/us/app/readytobfit/id1061032674?mt=8";1061032674;"Health&Fitness"
"ReadyVax";"https://itunes.apple.com/us/app/readyvax/id957851259?mt=8";957851259;"Health&Fitness"
"Reaffirm";"https://itunes.apple.com/us/app/reaffirm/id1240058048?mt=8";1240058048;"Health&Fitness"
"Reaffirm+";"https://itunes.apple.com/us/app/reaffirm/id1438025445?mt=8";1438025445;"Health&Fitness"
"Reafit";"https://itunes.apple.com/us/app/reafit/id1242713674?mt=8";1242713674;"Health&Fitness"
"Reagan Home Care Pharmacy";"https://itunes.apple.com/us/app/reagan-home-care-pharmacy/id977359420?mt=8";977359420;"Health&Fitness"
"Reagan's RX Compounding";"https://itunes.apple.com/us/app/reagans-rx-compounding/id1023233839?mt=8";1023233839;"Health&Fitness"
"Real Appeal";"https://itunes.apple.com/us/app/real-appeal/id971710445?mt=8";971710445;"Health&Fitness"
"Real Badminton";"https://itunes.apple.com/us/app/real-badminton/id580008932?mt=8";580008932;"Health&Fitness"
"Real Beach SSD";"https://itunes.apple.com/us/app/real-beach-ssd/id1322323458?mt=8";1322323458;"Health&Fitness"
"Real Egg Timer";"https://itunes.apple.com/us/app/real-egg-timer/id1342553239?mt=8";1342553239;"Health&Fitness"
"Real Golf";"https://itunes.apple.com/us/app/real-golf/id1232018529?mt=8";1232018529;"Health&Fitness"
"Real Grandeza";"https://itunes.apple.com/us/app/real-grandeza/id1067387322?mt=8";1067387322;"Health&Fitness"
"REAL HAIRDRESSING";"https://itunes.apple.com/us/app/real-hairdressing/id685826857?mt=8";685826857;"Health&Fitness"
"Real Hot Yoga";"https://itunes.apple.com/us/app/real-hot-yoga/id1044370461?mt=8";1044370461;"Health&Fitness"
"Real Life";"https://itunes.apple.com/us/app/real-life/id1228194296?mt=8";1228194296;"Health&Fitness"
"Real Life Saver";"https://itunes.apple.com/us/app/real-life-saver/id1076811024?mt=8";1076811024;"Health&Fitness"
"Real Life with Cornelius Lindsey";"https://itunes.apple.com/us/app/real-life-with-cornelius-lindsey/id1242429541?mt=8";1242429541;"Health&Fitness"
"Real Nutrition and Smoothies";"https://itunes.apple.com/us/app/real-nutrition-and-smoothies/id1177574259?mt=8";1177574259;"Health&Fitness"
"Real Pilates";"https://itunes.apple.com/us/app/real-pilates/id576409131?mt=8";576409131;"Health&Fitness"
"Real Pilates NYC";"https://itunes.apple.com/us/app/real-pilates-nyc/id1038572729?mt=8";1038572729;"Health&Fitness"
"Real Results Fitness";"https://itunes.apple.com/us/app/real-results-fitness/id1087530478?mt=8";1087530478;"Health&Fitness"
"Real Slow Cooking";"https://itunes.apple.com/us/app/real-slow-cooking/id438033003?mt=8";438033003;"Health&Fitness"
"Real Sport Center";"https://itunes.apple.com/us/app/real-sport-center/id1436138623?mt=8";1436138623;"Health&Fitness"
"Real Steel Gym";"https://itunes.apple.com/us/app/real-steel-gym/id1347074403?mt=8";1347074403;"Health&Fitness"
"Real Subliminal";"https://itunes.apple.com/us/app/real-subliminal/id1059389181?mt=8";1059389181;"Health&Fitness"
"Real Tanpura";"https://itunes.apple.com/us/app/real-tanpura/id515734094?mt=8";515734094;"Health&Fitness"
"REAL TASTE";"https://itunes.apple.com/us/app/real-taste/id1136198719?mt=8";1136198719;"Health&Fitness"
